flickrid,owner_id,title,date_downl,date_shot,gps_bool,farm,server,secret,make,model,foc_mm,azimuth_bo,azimuth,height
23445948489,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","701",,Apple,iPhone 6s,4.200000000000000,"0",171.023554600000011,403.961240299999986
23731453341,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","761",,Apple,iPhone 6s,4.200000000000000,"0",321.953270999999972,403.961240299999986
23187113903,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","645",,Apple,iPhone 6s,2.700000000000000,"0",215.154838699999999,403.854092499999979
23185782244,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","753",,Apple,iPhone 6s,4.200000000000000,"0",342.371621600000026,404.615444599999989
23185781674,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5801",,Apple,iPhone 6s,4.200000000000000,"0",5.953582240000000,404.182352900000012
23813903005,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5664",,Apple,iPhone 6s,4.200000000000000,"0",344.480263200000024,405.176870699999995
23787807666,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","628",,Apple,iPhone 6s,4.200000000000000,"0",341.306859200000019,405.142909999999972
23787807166,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","676",,Apple,iPhone 6s,4.200000000000000,"0",331.403614500000003,420.987878799999976
23187111053,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","605",,Apple,iPhone 6s,4.200000000000000,"0",12.164062500000000,404.869918700000028
23705482192,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5816",,Apple,iPhone 6s,4.200000000000000,"0",263.945578200000000,405.904761899999983
23187107633,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5682",,Apple,iPhone 6s,4.200000000000000,"0",217.743902399999996,401.074534200000016
23185774464,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5798",,Apple,iPhone 6s,4.200000000000000,"0",175.431095400000004,401.132596700000022
23731443331,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","726",,Apple,iPhone 6s,4.200000000000000,"0",220.701923099999988,401.553125000000023
23705477632,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","671",,Apple,iPhone 6s,4.200000000000000,"0",28.297270959999999,401.039682500000026
23787797516,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","744",,Apple,iPhone 6s,4.200000000000000,"0",197.286307099999988,401.235474000000011
23731439371,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","1","674",,Apple,iPhone 6s,4.200000000000000,"0",234.316546799999998,401.094936700000005
23518206730,57615963@N06,TEDGlobal>Geneva,2016-10-06,2015-12-07,"1","6","5697",,Apple,iPhone 6s,4.200000000000000,"0",169.814070399999991,403.219298200000026
23116925523,96818645@N04,,2016-10-06,2015-05-08,"1","1","769",,Apple,iPhone 6,4.200000000000000,"0",275.808539900000028,418.000000000000000
21822056318,101212512@N07,IMG_3281,2016-10-06,2015-09-22,"1","6","5835",,Apple,iPhone 5,4.100000000000000,"0",319.684931500000005,356.930555599999991
21663879512,86813892@N00,Making tracks for Geneva,2016-10-06,2015-09-23,"1","6","5796",,Apple,iPhone 4S,4.300000000000000,"0",318.866525400000000,392.000000000000000
20280329744,89767536@N00,,2016-10-06,2015-08-26,"1","6","5698",,Apple,iPhone 5s,4.200000000000000,"0",109.257668699999996,420.000000000000000
20902918865,89767536@N00,,2016-10-06,2015-08-26,"1","1","628",,Apple,iPhone 5s,4.200000000000000,"0",105.734767000000005,420.000000000000000
20280326034,89767536@N00,,2016-10-06,2015-08-26,"1","1","695",,Apple,iPhone 5s,4.200000000000000,"0",108.919075100000001,420.000000000000000
20910196981,89767536@N00,,2016-10-06,2015-08-26,"1","1","732",,Apple,iPhone 5s,4.200000000000000,"0",107.074003800000000,420.000000000000000
20714835390,89767536@N00,,2016-10-06,2015-08-26,"1","1","572",,Apple,iPhone 5s,4.200000000000000,"0",239.065116300000000,418.500000000000000
20714919068,89767536@N00,,2016-10-06,2015-08-26,"1","6","5785",,Apple,iPhone 5s,4.200000000000000,"0",338.690565999999990,418.500000000000000
20055228714,22129862@N06,,2016-10-06,2015-08-13,"1","6","5740",,Apple,iPhone 5s,4.200000000000000,"0",231.542713600000013,388.435810800000013
