osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,length,azimuth,az+
"23873640","5114",secondary,Avenue de Morges,,F,"50","0",F,F,150.377257080221966,103.142537086306646,"109"
"23873644","5114",secondary,Avenue du Vieux-Moulin,,B,"50","0",F,F,100.097369442362293,70.520520351692639,"63"
"23873652","5122",residential,Chemin de Malley,,B,"30","0",F,F,27.120612001722680,198.409898375400871,"193"
"23873655","5113",primary,Avenue d'Echallens,"9",B,"50","0",F,F,43.923838224548689,276.919861389195205,"280"
"23939040","5113",primary,,,B,"80","0",F,F,76.733364436825099,0.000000000000000,
"23962725","5114",secondary,Route de la Blécherette,"134",F,"80","0",F,F,24.570836301922157,93.301393696687938,"95"
"23962726","5114",secondary,Route d'Yverdon,,B,"80","0",F,F,29.431635438445753,160.710300269721216,"167"
"24025747","5122",residential,Chemin des Tonnelles,,F,"30","0",F,F,102.672468743554987,51.307665719791594,"41"
"24025751","5122",residential,Avenue Collonges,,F,"30","0",F,F,272.550546047893363,128.202248966816541,"139"
"24025754","5122",residential,Avenue André-Gindroz,,F,"30","0",F,F,150.558035142188885,55.949028278504329,"46"
"24025759","5122",residential,Avenue de France,,F,"30","0",F,F,724.569738666560056,302.361968529500359,"313"
"24025781","5115",tertiary,Chemin de Montétan,,B,"50","0",F,F,193.676742328865032,72.685041820955462,"66"
"24025786","5115",tertiary,Avenue Frédéric Recordon,,B,"50","0",F,F,358.274715279906047,315.725726644283554,"327"
"24025788","5122",residential,Chemin des Clochetons,,F,"30","0",F,F,253.184370260294457,111.569456029273027,"120"
"24025793","5122",residential,Rue du Clos-de-Bulle,,F,"30","0",F,F,133.237298553567342,46.335660556248818,"36"
"24055010","5122",residential,Avenue Pierre-Maurice Glayre,,F,"30","0",F,F,143.398805444303377,36.881924970698499,"28"
"24055047","5141",service,,,F,"0","0",F,F,113.555037887950007,213.399559929660029,"205"
"24055049","5122",residential,Chemin Jaques-Larguier des Bancels,,B,"50","0",F,F,9.522742654398828,168.268651936475010,"172"
"24055077","5115",tertiary,Avenue du Grey,,B,"50","0",F,F,110.196559251001545,203.526374315674929,"197"
"24251800","5114",secondary,Placette du Tunnel,"150",B,"50","0",F,F,38.374938129516877,115.943909573872489,"126"
"24260012","5113",primary,Avenue du Léman,"9",B,"50","0",F,F,220.436483566985203,98.899630930957301,"103"
"24279120","5122",residential,Avenue Pierre-Decker,,B,"30","0",F,F,282.249035995427448,273.752086808723675,"276"
"24326955","5122",residential,Chemin des Falaises,,B,"0","0",F,F,411.510904445053143,30.022757154243987,"22"
"24326957","5115",tertiary,Avenue Henri Druey,,F,"50","0",F,F,357.902345991687298,117.312399160958307,"127"
"24326958","5121",unclassified,Place de la Riponne,,B,"50","0",F,F,17.271166643074309,99.813437891559161,"105"
"24326959","5122",residential,Avenue du Vingt-Quatre-Janvier,,F,"30","0",F,F,194.025522991871270,221.544658553995163,"212"
"24326961","5141",service,,,B,"0","0",F,F,112.857433822706923,290.801081972820725,"299"
"24326962","5153",footway,,,B,"0","0",F,F,151.729316052482346,103.167611514099178,"109"
"24405738","5141",service,Chemin du Boisy,,B,"0","0",F,F,51.987545774095551,151.518382370970443,"160"
"24405812","5141",service,,,F,"0","0",F,F,75.418974703148393,78.711587539310301,"74"
"24448529","5153",footway,,,B,"0","0",F,F,11.692849304309023,338.033916597854443,"345"
"24448531","5153",footway,,,B,"0","0",F,F,12.143374932909248,338.025650617158874,"345"
"24448532","5153",footway,,,B,"0","0",F,F,11.464098994849611,63.684086005756370,"55"
"24448534","5153",footway,,,B,"0","0",F,F,12.106227081495771,67.144041655490085,"59"
"24448535","5153",footway,,,B,"0","0",F,F,12.031690703129472,338.743058901551649,"345"
"24448537","5153",footway,,,B,"0","0",F,F,12.151522201325360,337.083650942240638,"344"
"24448538","5153",footway,,,B,"0","0",F,F,11.957960422939106,28.962926091688402,"21"
"24448539","5153",footway,,,B,"0","0",F,F,10.599581755818996,47.991816798465756,"38"
"24448541","5153",footway,,,B,"0","0",F,F,9.987013544218044,305.902185707665694,"317"
"24448544","5153",footway,,,B,"0","0",F,F,10.868706518635104,335.677421617401023,"343"
"24461852","5122",residential,Rue du Lac,,B,"30","0",F,F,66.613560948998213,160.598479729501179,"167"
"24482810","5124",pedestrian,,,B,"0","0",F,F,67.562223186140741,82.661877666027451,"80"
"24482811","5124",pedestrian,,,B,"0","0",F,F,104.993406338059145,111.437551770125410,"120"
"24482812","5124",pedestrian,,,B,"0","0",F,F,33.048010535443389,332.235779839268730,"341"
